procedure_id,mouse_id,procedure_type,procedure_date,series_id,session_no,operator,anesthesia,anesthesia_route,analgesia,analgesia_route,construct/dye,injection_route,site1_hemi,site1_region,site1_ap,site1_ml,site1_dv,outcome,notebook_scan,notes,days_since
pr-ts213-01,ts213,PoRTs_window,2025-04-08,,,ts,,,,,,,,,,,,,,PoRTs window,445
pr-ts214-01,ts214,other,2025-05-12,,,ts,,,,,,,,,,,,,,TGN020 test,411
pr-ts215-01,ts215,other,2025-05-12,,,ts,,,,,,,,,,,,,,TGN020 test,411
pr-ts216-01,ts216,other,2025-05-12,,,ts,,,,,,,,,,,,,,TGN020 test,411
pr-ts217-01,ts217,other,2025-05-12,,,ts,,,,,,,,,,,,,,TGN020 test,411
pr-ts218-01,ts218,other,2025-05-12,,,ts,,,,,,,,,,,,,,TGN020 test,411
pr-ts219-01,ts219,other,2025-05-12,,,ts,,,,,,,,,,,,,,TGN020 test,411
pr-ts220-01,ts220,PoRTs_window,2025-05-27,,,ts,,,,,,,,,,,,,,PoRTs window,396
pr-ts223-01,ts223,PoRTs_window,2025-05-28,,,ts,,,,,,,,,,,,,,PoRTs window,395
pr-ts224-01,ts224,PoRTs_window,2025-05-29,,,ts,,,,,,,,,,,,,,PoRTs window,394
pr-ts225-01,ts225,PoRTs_window,2025-05-30,,,ts,,,,,,,,,,,,,,PoRTs window,393
pr-ts226-01,ts226,PoRTs_window,2025-06-04,,,ts,,,,,,,,,,,,,,PoRTs window,388
pr-ts227-01,ts227,PoRTs_window,2025-06-06,,,ts,,,,,,,,,,,,,,PoRTs window,386
pr-ts228-01,ts228,femoral_catheter,2025-07-08,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,354
pr-ts229-01,ts229,PoRTs_window,2025-07-10,,,ts,,,,,,,,,,,,,,PoRTs window,352
pr-ts230-01,ts230,craniotomy,2025-07-10,,,ts,,,,,,,,,,,,,,Craniotomy,352
pr-ts230-02,ts230,cranial_window,2025-07-10,,,ts,,,,,,,,,,,,,,チャンバーづけ,352
pr-ts231-01,ts231,PoRTs_window,2025-07-11,,,ts,,,,,,,,,,,,,,PoRTs window,351
pr-ts232-01,ts232,femoral_catheter,2025-08-18,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,313
pr-ts233-01,ts233,femoral_catheter,2025-08-18,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,313
pr-ts234-01,ts234,femoral_catheter,2025-08-20,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,311
pr-ts235-01,ts235,ICM_injection,2025-08-25,,,ts,,,,,,,,,,,,,,Ventricle cathter test,306
pr-ts236-01,ts236,femoral_catheter,2025-08-27,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,304
pr-ts237-01,ts237,femoral_catheter,2025-09-02,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,298
pr-ts238-01,ts238,femoral_catheter,2025-09-03,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,297
pr-ts239-01,ts239,femoral_catheter,2025-09-03,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,297
pr-ts240-01,ts240,femoral_catheter,2025-09-03,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,297
pr-ts241-01,ts241,femoral_catheter,2025-09-04,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,296
pr-ts242-01,ts242,PoRTs_window,2025-09-19,,,ts,,,,,,,,,,,,,,PoRTs window,281
pr-ts243-01,ts243,ICM_injection,2025-09-25,,,ts,,,,,,,,,,,,,,Intraventricle injection of Rh,275
pr-ts243-02,ts243,cranial_window,2025-09-25,,,ts,,,,,,,,,,,,,,チャンバーづけ,275
pr-ts244-01,ts244,femoral_catheter,2025-09-26,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,274
pr-ts245-01,ts245,PoRTs_window,2025-09-26,,,ts,,,,,,,,,,,,,,PoRTs window,274
pr-ts246-01,ts246,femoral_catheter,2025-09-30,,,ts,,,,,,,,,,,,,,Femoral vein catheter test,270
pr-ts247-01,ts247,PoRTs_window,2025-10-03,,,ts,,,,,,,,,,,,,,PoRTs window,267
pr-ts248-01,ts248,PoRTs_window,2025-10-04,,,ts,,,,,,,,,,,,,,PoRTs window,266
pr-ts249-01,ts249,PoRTs_window,2025-10-14,,,ts,,,,,,,,,,,,,,PoRTs window,256
pr-ts250-01,ts250,PoRTs_window,2025-10-20,,,ts,,,,,,,,,,,,,,PoRTs window,250
pr-ts251-01,ts251,PoRTs_window,2025-10-20,,,ts,,,,,,,,,,,,,,PoRTs window,250
pr-ts252-01,ts252,ICM_injection,2025-10-20,,,ts,,,,,,,,,,,,,,Ventricle cathter test,250
pr-ts252-02,ts252,cranial_window,2025-10-20,,,ts,,,,,,,,,,,,,,チャンバーづけ,250
pr-ts253-01,ts253,ICM_injection,2025-10-20,,,ts,,,,,,,,,,,,,,Ventricle cathter test,250
pr-ts253-02,ts253,cranial_window,2025-10-20,,,ts,,,,,,,,,,,,,,チャンバーづけ,250
pr-ts254-01,ts254,viral_injection,2025-10-21,,,ts,,,,,AAV-AST CMVenhancer-hGfaABC1D-GFP-Wpre,,,,,,,,,AAV-AST test,249
pr-ts254-02,ts254,cranial_window,2025-11-21,,,ts,,,,,,,,,,,,,,チャンバーづけ,218
pr-ts255-01,ts255,viral_injection,2025-10-21,,,ts,,,,,AAV-AST2: CMVenhancer-hGfaABC1D-GFP-Wpre,,,,,,,,,AAV-AST test,249
pr-ts256-01,ts256,viral_injection,2025-10-21,,,ts,,,,,AAV-AST2: mGfaABC1D-mCherry-Wpre,,,,,,,,,AAV-AST test,249
pr-ts257-01,ts257,viral_injection,2025-10-21,,,ts,,,,,,,,,,,,,,AAV-AST test,249
pr-ts257-02,ts257,cranial_window,2025-11-21,,,ts,,,,,,,,,,,,,,チャンバーづけ,218
pr-ts258-01,ts258,imaging,2025-11-27,,,ts,,,,,,,,,,,,,,ear,212
pr-ts259-01,ts259,imaging,2025-11-27,,,ts,,,,,,,,,,,,,,ear,212
pr-ts260-01,ts260,imaging,2025-11-28,,,ts,,,,,,,,,,,,,,ear,211
pr-ts262-01,ts262,cranial_window,2025-12-17,,,ts,,,,,,,,,,,,,,チャンバーづけ,192
pr-ts263-01,ts263,cranial_window,2025-12-17,,,ts,,,,,,,,,,,,,,チャンバーづけ,192
pr-ts264-01,ts264,other,2026-01-20,,,ts,,,,,,,,,,,,,,jagular vein test,158
