mouse_id,birth_id,cohort,sex,line,dob_intake,sac_date,fixation,genotype,notes
ts190,,personal,M,wt,2024-12-16,2025-02-17,,,From Nuriya group
ts191,,personal,M,wt,2024-12-16,2025-02-17,,,From Nuriya group
ts192,,personal,M,wt,2024-12-16,2025-02-17,,,From Nuriya group
ts193,,personal,M,wt,2024-12-16,2025-02-20,,,From Nuriya group
ts194,,personal,M,wt,2024-12-16,2025-02-20,,,From Nuriya group
ts195,,personal,M,wt,2024-12-19,2025-02-27,,,From Nuriya group
ts196,,personal,M,wt,2024-12-19,2025-02-27,,,From Nuriya group
ts197,,personal,M,wt,2024-12-23,2025-02-28,,,From Nuriya group
ts198,,personal,M,wt,2024-12-23,2025-02-28,,,From Nuriya group
ts199,,personal,M,wt,2024-12-23,2025-03-03,,,From Nuriya group
ts200,,personal,M,wt,2024-12-23,2025-03-05,,,From Nuriya group
ts201,,personal,M,wt,2024-11-13,2025-03-07,,,WT100
ts202,,personal,M,wt,2024-11-13,2025-03-07,,,WT101
ts203,,personal,M,wt,2024-11-13,2025-03-09,,,WT112
ts204,,personal,M,wt,2024-11-13,2025-03-10,,,WT109
ts205,,personal,M,wt,2024-11-13,2025-03-12,,,WT110
ts206,,personal,M,wt,2024-11-13,2025-03-12,,,WT111
ts207,,personal,M,wt,2024-11-13,2025-03-12,,,WT115
ts208,,personal,M,wt,2024-11-13,2025-03-12,,,WT114
ts209,,personal,M,wt,2024-11-13,2025-03-13,,,WT108
ts210,,personal,M,cagegfp,2024-12-06,2025-04-15,,,CAG-EGFP 101
ts211,,personal,M,cagegfp,2024-12-06,2025-04-18,,,CAG-EGFP 102
ts212,,personal,M,cagegfp,2024-12-06,2025-05-13,,,CAG-EGFP 103
ts213,,personal,M,cagegfp,2024-12-06,2025-05-19,,,CAG-EGFP 104
ts214,,personal,M,wt,2025-03-10,2025-10-16,,,WT118
ts215,,personal,F,wt,2025-03-10,2025-10-16,,,WT124
ts216,,personal,M,wt,2025-03-10,2025-05-12,,,WT119
ts217,,personal,F,wt,2025-03-10,2025-10-16,,,WT125
ts218,,personal,M,wt,2025-03-10,2025-10-16,,,WT120
ts219,,personal,F,wt,2025-03-10,2025-10-16,,,WT126
ts220,,personal,M,cagegfp,2025-02-20,2025-06-10,,,CAG-EGFP 105
ts221,,personal,F,5xfad_aqp4ko,2024-02-14,2025-05-27,,,5 x FAD x AQP4KO 19
ts222,,personal,F,5xfad_aqp4ko,2024-03-22,2025-05-27,,,5 x FAD x AQP4KO 20
ts223,,personal,M,cagegfp,2025-02-20,2025-06-16,,,CAG-EGFP 106
ts224,,personal,M,cagegfp,2025-02-20,2025-06-19,,,CAG-EGFP 107
ts225,,personal,F,cagegfp,2025-02-20,2025-07-03,,,CAG-EGFP 110
ts226,,personal,M,cagegfp,2025-02-20,2025-07-04,,,CAG-EGFP 108
ts227,,personal,M,cagegfp,2025-02-20,2025-07-07,,,CAG-EGFP 109
ts228,,personal,M,wt,2025-03-10,2025-07-09,,,WT118
ts229,,personal,M,cagegfp_aqp4ko,2025-04-24,2025-10-16,,,CAGEGFP x AQP4KO67
ts230,,personal,M,wt,2025-03-10,2025-10-16,,,WT
ts231,,personal,M,cagegfp_aqp4ko,2025-04-23,2025-10-16,,,CAGEGFP x AQP4KO60
ts232,,personal,M,wt,2025-03-10,2025-08-19,,,WT121
ts233,,personal,M,wt,2025-03-10,2025-08-19,,,WT122
ts234,,personal,M,wt,2025-03-10,2025-08-20,,,WT123
ts235,,personal,F,wt,2025-03-10,2025-08-28,,,WT124
ts236,,personal,F,wt,2025-03-10,2025-09-16,,,WT125
ts237,,personal,M,cagegfp,2025-03-21,2025-09-03,,,CAG-EGFP 111
ts238,,personal,F,wt,2025-03-10,2025-09-03,,,WT126
ts239,,personal,F,wt,2025-03-10,2025-09-03,,,WT127
ts240,,personal,F,wt,2025-03-10,2025-09-04,,,WT128
ts241,,personal,F,wt,2025-03-10,2025-09-05,,,WT129
ts242,,personal,M,cagegfp,2025-07-15,2025-09-24,,,CAG-EGFP 118
ts243,,personal,F,wt,2025-07-15,2025-09-26,,,WT132
ts244,,personal,M,cagegfp_aqp4ko,2025-01-17,2025-09-26,,,CAGEGFP x AQP4KO22
ts245,,personal,M,cagegfp_aqp4ko,2025-01-17,2025-09-29,,,CAGEGFP x AQP4KO24
ts246,,personal,M,cagegfp_aqp4ko,2025-04-24,2025-10-03,,,CAGEGFP x AQP4KO67
ts247,,personal,M,cagegfp,2025-07-15,2025-10-06,,,CAG-EGFP 119
ts248,,personal,M,cagegfp_aqp4ko,2025-04-24,2025-10-07,,,CAGEGFP x AQP4KO68
ts249,,personal,M,cagegfp,2025-07-15,2025-10-16,,,CAG-EGFP 120
ts250,,personal,M,cagegfp,2025-07-15,2025-10-23,,,CAG-EGFP 121
ts251,,personal,M,cagegfp,2025-07-15,2025-11-14,,,CAG-EGFP 122
ts252,,personal,F,wt,2025-07-15,2025-11-05,,,WT133
ts253,,personal,F,wt,2025-07-15,2025-11-05,,,WT134
ts254,,personal,M,wt,2025-09-15,2025-12-10,other,,WT135
ts255,,personal,M,wt,2025-09-15,2025-12-10,other,,WT136
ts256,,personal,M,wt,2025-09-15,2025-12-10,other,,WT137
ts257,,personal,M,wt,2025-09-15,2025-12-10,other,,WT138
ts258,,personal,F,cagegfp,2025-03-21,2025-12-10,,,CAG-EGFP 112
ts259,,personal,F,cagegfp,2025-03-21,2025-12-12,,,CAG-EGFP 113
ts260,,personal,M,cagegfp,2025-10-03,2025-11-28,,,CAG-EGFP 129
ts261,,personal,M,cagegfp,2025-10-02,2025-12-13,,,CAG-EGFP 123
ts262,,personal,M,cagegfp_aqp4ko,2025-09-04,2025-12-17,,,CAG-EGFP-AQP4KO 80
ts263,,personal,M,wt,2025-09-15,2025-12-17,,,WT140?
ts264,,personal,M,wt,2025-09-15,2026-01-20,,,WT140?
ts265,,personal,M,wt,2025-09-01,2026-01-22,,,WT141
ts266,,personal,M,wt,2025-09-01,2026-02-04,,,WT142
ts267,,personal,M,cagegfp,2025-10-03,2026-02-04,,,CAG-EGFP 130
ts268,,personal,M,wt,2025-09-01,2026-01-26,,,WT143
ts269,,personal,M,wt,2025-09-01,2026-02-10,,,WT144
ts270,,personal,M,wt,2025-12-31,2026-03-01,,,WT147
ts271,,personal,M,wt,2025-12-31,,,,WT148
ts272,,personal,M,wt,2025-12-31,,,,WT149
ts273,,personal,M,cagegfp_aqp4ko,2025-09-04,2026-01-29,,,CAG-EGFP-AQP4KO 81
ts274,,personal,M,wt,2025-09-01,2026-02-10,,,WT145
ts275,,personal,F,wt,2025-07-15,2026-02-10,,,WT130
ts276,,personal,F,wt,2025-07-15,2026-02-13,,,WT131
ts277,,personal,M,,,2026-02-18,,,
ts278,,personal,,,,2026-02-20,,,
ts279,,personal,,,,2026-02-20,,,
ts280,,personal,M,cagegfp,,2026-03-10,,,CAG-EGFP xx
ts281,,personal,M,wt,2025-12-31,2026-03-12,,,WT150
ts282,,personal,M,wt,2025-12-31,2026-03-24,,,WT151
ts283,,personal,M,wt,2026-02-12,2026-04-09,,,WT167
ts284,,personal,M,cagegfp,2025-12-17,2026-04-09,,,CAG-EGFP xx
ts285,,personal,M,wt,2026-02-12,2026-04-10,,,WT16
ts286,,personal,F,cagegfp,2025-10-03,2026-04-13,,,CAG-EGFP 131
ts287,,personal,F,cagegfp,2025-10-03,2026-04-13,,,CAG-EGFP 132
ts288,,personal,M,wt,2026-03-05,2026-04-13,,,WT176
ts289,,personal,M,wt,2026-03-05,2026-04-23,,,WT177
sk1,,collab,M,wt,2025-09-01,2026-02-10,none,,WT146
sk2,,collab,M,wt,2025-12-25,2026-02-16,none,,WT156
sk3,,collab,M,wt,2025-12-25,2026-04-03,none,,WT157
sk4,,collab,M,wt,2025-12-25,2026-04-07,,,WT158
sk5,,collab,M,wt,2025-12-25,2026-04-07,,,WT154
sk6,,collab,M,wt,2025-12-25,2026-04-07,,,WT155
sk7,,collab,M,wt,2025-12-31,2026-04-15,,,WT152 骨から血が少し滲み出た
sk8,,collab,M,aqp4ko,2025-09-07,2026-04-29,,,AQP4KO61
sk9,,collab,M,aqp4ko,2025-09-07,,,,AQP4KO62 端のほう少し内出血
sk10,,collab,F,aqp4ko,2025-09-07,2026-04-06,,,AQP4KO65
sk11,,collab,M,wt,2026-02-12,2026-04-07,other,,6w260324
sk12,,collab,M,wt,2026-02-12,,,,WT169  6w260324
sk13,,collab,M,wt,2026-03-05,,,,WT178
sk14,,collab,M,wt,2026-03-05,2026-05-11,other,,WT170
sk15,,collab,M,cagegfp,2025-12-17,2026-04-24,,,CAG-EGFP#137
sk16,,collab,M,wt,2026-03-05,2026-05-25,other,,WT171
sk17,,collab,M,wt,2026-03-05,2026-05-25,other,,WT172
sk18,,collab,M,wt,2026-03-05,2026-04-28,other,,WT173
sk19,,collab,M,wt,2026-03-05,2026-04-28,other,,WT179
sk20,,collab,M,cagegfp_aqp4ko,2026-02-28,2026-05-11,,,#92
sk21,,collab,M,cagegfp,2026-02-14,,,,#146 カバーガラスの下に少し気泡が入った
sk22,,collab,M,cagegfp_aqp4ko,2026-03-10,,,,#95
sk23,,collab,M,cagegfp,2026-02-14,,,,#147
sk24,,collab,F,cagegfp,2025-12-17,,,,#140
sk25,wt-175,collab,M,wt,2026-03-05,2026-06-23,,,#175
sk26,cagegfp-96,collab,M,cagegfp_aqp4ko,2026-03-10,,,,#96 カバーガラスの下に一部気泡が入った
sk27,wt-176,collab,M,wt,2026-03-05,,,,#176
sk28,,collab,M,aqp4ko,2026-01-29,,,,#67
sk29,,collab,M,aqp4ko,2026-01-29,,,,#68
sk30,,collab,M,aqp4ko,2026-01-29,,,,#69
sk31,,collab,F,cagegfp,2026-02-14,2026-06-08,,,#150 surgery中に死亡
sk32,,collab,F,cagegfp,2025-12-17,,,,#142
sk33,,collab,F,cagegfp,2025-12-17,,,,#141
sk34,,collab,M,wt,2026-04-15,,,,#187 篠塚先生Demo
sk35,,collab,M,wt,2026-04-15,2026-06-11,,,#188 頭蓋骨穴あけ失敗→sac
sk36,,collab,M,wt,2026-04-15,,,,#189
ts290,cagegfp-139,personal,M,cagegfp,2025-12-17,,,CAG-EGFP:+,
sk37,wt-190,collab,M,wt,2026-04-15,,,,
sk38,wt-191,collab,M,wt,2026-04-15,,,,
